microRNA ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC06	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-579-5p	5,295860854	3,7848483	1,380097559	3,490968583	3,770784624	5,054839753	5,741784659	2,899604425	2,522818972	1,619609735	4,734838412	3,133575075	0,850518341	2,927510564	2,052681501	3,47911178	3,399115671	2,586291544	4,546767463	3,33845013	2,880354285	2,903220221	1,519132817	3,811283636
miR-3622b-5p	5,295860854	3,213826399	2,303943074	0,572557243	4,021446674	4,066410547	5,056540911	3,873495426	2,164325539	1,861546517	0,899347526	-1,90150576	1,563042054	3,495454081	1,808143554	1,425567363	2,580108733	-1,90150576	3,203458448	0,88226466	2,32137806	3,35829522	1,694837756	3,260478965
miR-6873-3p	5,295860854	0,224911486	-1,90150576	-1,90150576	0,17761585	1,747946548	0,414185566	-1,90150576	1,863774888	0,964078403	0,899347526	1,634035282	0,505156651	-1,90150576	2,444259879	1,191001403	-1,90150576	-1,90150576	0,018627656	0,88226466	0,8832094	-1,90150576	0,466044128	0,916647969
miR-615-5p	5,295860854	1,570846101	2,699296833	-1,90150576	0,995927788	2,903099684	4,430640616	3,301646487	1,483677258	2,249770577	3,517347819	2,570447092	2,764149573	2,639616138	1,142879859	1,191001403	2,907486149	0,202151225	3,992734608	2,626713332	3,282220985	2,540111717	2,450145058	0,916647969
miR-3193-5p	5,295860854	4,510563607	4,608692231	4,55077997	4,167223573	5,511099528	6,709099461	5,358846387	4,200987061	4,394140377	6,295503077	5,303812565	2,394511249	5,408521461	4,70827902	4,852349592	4,121364864	4,564408795	6,308754212	5,484732304	5,642042485	3,930651309	3,310241488	2,838532336
miR-1288-3p	5,295860854	1,570846101	2,056464556	1,436508729	1,717818661	2,903099684	3,448436812	3,706860006	0,615543577	2,555368096	4,021768198	1,838543829	2,591136475	2,409831004	3,11714871	2,563382118	-0,624874669	1,023724529	4,546767463	0,077878972	0,8832094	2,395466695	2,239482128	5,562224491
miR-12118-3p	5,295860854	0,695304705	1,380097559	-1,90150576	1,278601779	3,974836927	1,261487831	2,092423334	0,966154011	0,964078403	2,898532757	1,838543829	-1,90150576	2,409831004	-0,128923098	2,103853246	1,118841514	-1,90150576	2,63930543	2,072678795	2,073713671	0,950294335	1,086615256	0,56823556
miR-320e-3p	5,285286423	5,549098767	5,389291119	4,378220512	4,459122761	6,700335753	6,690627057	5,789016505	4,464654803	5,249638737	5,711164637	5,570966459	4,789232418	5,422735304	5,444690532	5,253916755	5,115520393	5,047734135	7,259714721	5,019533689	6,225692167	5,233763572	4,844369631	5,219518628
miR-1270	5,253089979	3,527406309	5,577428215	3,56716227	1,717818661	4,310694141	-1,90150576	-1,90150576	3,908796495	2,068678048	4,021768198	4,815387358	3,357314828	-0,461099024	4,844439034	3,962092449	3,547453714	3,441038184	3,315707397	4,505891015	4,716169483	4,779058967	3,255214313	2,754439678
miR-5701-3-5p	5,253089979	6,62836138	6,936358173	8,154916213	7,302217875	5,932156583	4,430640616	5,591899446	7,976692732	7,333506999	6,448481343	6,530477606	6,411141459	6,538211639	6,484346996	7,843139813	6,553782534	7,318351097	4,874580348	6,619837416	5,985046487	7,740736776	6,568764146	7,646343497
miR-10396b-3p	5,253089979	1,049454588	3,480942944	-0,188676004	1,895714233	2,43817572	3,300358794	3,912311541	2,720282932	2,555368096	2,898532757	1,634035282	1,739257711	1,594680724	2,606279632	1,425567363	1,552549041	2,084075372	2,63930543	1,596920099	2,716969866	1,605021174	1,851448184	2,569946703
miR-6718-5p	5,253089979	4,794386509	5,008182409	3,138178465	4,36151397	5,183126656	2,483383875	4,221393441	4,233676659	4,960023733	4,021768198	4,396843854	3,558732927	2,409831004	3,408340073	3,425995288	3,804973026	3,553777756	3,315707397	3,094164721	4,800218642	3,640939272	3,076294229	4,494639168
miR-7-3-5p	5,253089979	7,319690566	6,963606401	6,975853557	8,086354156	7,023426651	5,270657086	7,028668883	8,346281179	7,163253926	6,598721685	8,217178352	8,796982208	9,761980397	8,36136243	9,217298215	9,545042638	7,930183111	6,438394756	7,682923721	7,708704553	7,848859151	7,602991836	6,733105017
miR-125b-1-5p	5,209012254	4,928491626	5,172887513	4,305938341	5,628732198	4,701945131	2,948944727	3,046423382	6,016935298	4,608386898	5,146245781	4,22516265	6,139880648	5,153516037	4,876561785	5,12653374	6,51826138	5,881920226	3,923557605	5,91968485	5,339006254	4,71953634	6,349866308	4,937523049
miR-18a-3p	5,209012254	2,812596081	2,51512055	3,138178465	4,234936284	4,152516925	0,414185566	2,340286807	4,7224699	3,946360463	2,735066624	3,595133029	4,163960696	5,226043632	2,75192719	4,611941761	3,291009711	4,693061687	2,802327234	4,002134525	4,580134327	3,982214041	3,138432613	3,769048239
miR-320c	5,209012254	3,434274812	2,716484531	-1,90150576	1,717818661	3,965351576	3,96365628	4,709734916	1,75987725	2,596097763	3,557052726	2,680914825	1,653838659	2,265879431	4,353985427	1,057669896	0,643787419	2,356927292	4,670153195	1,705451074	2,910922619	1,069514605	1,661367101	1,453257235
miR-1292-5p	5,209012254	2,504344278	2,699296833	0,572557243	2,657893706	3,402102199	3,58272095	3,41410806	2,624926719	2,807411841	4,157108883	2,320356519	2,037865683	2,927510564	2,052681501	3,313508995	2,753063676	2,873744863	2,63930543	3,281146232	3,77299933	2,234686821	3,011358547	2,569946703
miR-4475-5p	5,163545296	4,082100921	4,1203879	1,729616912	3,082273949	4,811877008	5,101981941	1,414594756	4,296914293	3,208592216	3,045347855	2,969139761	1,128966319	4,888931577	1,513522973	4,104120675	3,233758929	2,356927292	4,349904219	4,261146804	4,003221242	4,215546327	0,809442691	2,569946703
miR-218-1-5p	5,163545296	1,049454588	0,064969019	-1,90150576	3,380178003	1,219352741	1,791735289	3,301646487	2,624926719	2,686887096	2,898532757	0,753374841	3,604981152	1,594680724	1,808143554	-0,576145608	3,291009711	3,113329734	3,315707397	3,094164721	2,532690771	2,395466695	4,850570429	3,769048239
miR-2277-3p	5,163545296	3,87620562	3,578171063	2,181385932	3,287547259	5,511099528	6,073718545	5,51832019	3,285579574	3,118264904	4,448550926	3,595133029	2,990063173	3,091784849	4,148333262	3,47911178	3,174142034	3,253463564	4,874580348	2,715909703	3,930487525	3,575298376	3,310241488	4,387047657
miR-4538-3p	5,163545296	3,213826399	2,303943074	2,524912266	3,676519079	4,811877008	6,225148211	3,792582238	2,02186266	2,410645867	3,178592734	2,320356519	2,764149573	1,977395081	3,11714871	2,351837065	2,978911113	2,356927292	3,693576221	2,20181296	1,774537871	1,314484524	0,466044128	2,634101825
miR-6877-5p	5,163545296	2,986687287	0,064969019	-1,90150576	2,326561971	4,310694141	4,748982976	5,684508366	0,966154011	2,068678048	4,157108883	3,477614707	0,05019694	2,409831004	-0,128923098	1,804210669	3,843754488	2,084075372	4,760199667	2,954526947	3,853891337	3,575298376	2,239482128	2,665140322
miR-4724-5p	5,163545296	3,919802633	3,669258325	2,524912266	3,815703955	6,114847395	5,525367494	4,974715754	4,443850358	4,273769404	4,973613666	3,987903732	3,123141437	4,068958022	4,390039136	3,998931697	4,688297028	4,39315919	4,799342857	4,625825985	4,580134327	4,453353123	3,511492364	3,32019953
miR-514a-3p	5,163545296	3,736904457	4,822220995	-1,90150576	2,44566323	4,233772269	2,483383875	2,551744335	2,809725349	6,350851915	4,280834919	5,808513628	6,468551385	4,253776394	4,743542599	3,718803233	6,88189278	1,023724529	4,837452008	7,097518013	-1,90150576	5,72737843	7,146711982	0,107947608
miR-1284-3p	5,163545296	0,695304705	0,867470388	-1,90150576	-0,51593704	0,376338264	1,791735289	-1,90150576	-1,90150576	-1,90150576	1,413594846	0,278629912	0,05019694	-1,90150576	0,642806741	2,351837065	-1,90150576	-1,90150576	0,018627656	-1,90150576	-1,90150576	0,461946717	-1,90150576	2,358352588
